time (min),raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw light scattering data: detector voltage  (V) detector 9,raw light scattering data: detector voltage  (V) detector 10,raw light scattering data: detector voltage  (V) detector 11,raw light scattering data: detector voltage  (V) detector 12,raw light scattering data: detector voltage  (V) detector 13,raw light scattering data: detector voltage  (V) detector 14,raw light scattering data: detector voltage  (V) detector 15,raw light scattering data: detector voltage  (V) detector 16,raw light scattering data: detector voltage  (V) detector 17,raw light scattering data: detector voltage  (V) detector 18,UV absorbance data: absorbance  (AU) channel 1,UV absorbance data: absorbance  (AU) channel 2,count rate: count rate  (Hz),count rate at corr. func.: count rate  (Hz),Forward Laser Monitor: Forward Laser Monitor  (V),Auto-inject Signal: Auto-inject Signal
0.0042666670,0.1160245240,0.0289336820,0.0147602410,0.0067903980,0.0157954470,0.0116981430,0.0103814970,0.0089738250,0.0089091650,0.0090744240,0.0091400100,0.0090133570,0.0093052450,0.0133983320,0.0175398640,0.0157339260,0.0203355300,,,49247.4680900000, ,0.9308938990, 
0.0128000270,0.1160236550,0.0289323880,0.0147623180,0.0067882970,0.0157938980,0.0117009350,0.0103784240,0.0089748430,0.0089083160,0.0090776210,0.0091402000,0.0090119380,0.0093037240,0.0133977590,0.0175376470,0.0157361100,0.0203403760,-0.0000149000,0.0000127000,49307.5400300000, ,0.9309037110, 
0.0213333870,0.1160341770,0.0289265530,0.0147677500,0.0067879000,0.0157913470,0.0117035070,0.0103749770,0.0089744520,0.0089097400,0.0090820520,0.0091374750,0.0090096810,0.0093057190,0.0133979500,0.0175365520,0.0157298250,0.0203437480,-0.0000159000,0.0000104000,48985.6615000000,48992.5118100000,0.9309202460, 
0.0298667470,0.1160340130,0.0289302840,0.0147704720,0.0067895200,0.0157989450,0.0117075710,0.0103817360,0.0089789780,0.0089145260,0.0090843490,0.0091432990,0.0090114070,0.0093098320,0.0134083440,0.0175439980,0.0157284520,0.0203477760,-0.0000162000,0.0000089000,47835.7840300000,48976.7657300000,0.9309264350, 
0.0384001070,0.1160435280,0.0289380040,0.0147678760,0.0067948590,0.0158080150,0.0117051830,0.0103786220,0.0089758650,0.0089164940,0.0090836210,0.0091404960,0.0090150870,0.0093082740,0.0134035700,0.0175435790,0.0157216030,0.0203526970,-0.0000162000,0.0000094900,48948.7995000000,48961.0196400000,0.9309332220, 
0.0469334670,0.1160625720,0.0289411580,0.0147710320,0.0067990080,0.0158080010,0.0117078440,0.0103757960,0.0089760570,0.0089139390,0.0090824640,0.0091390280,0.0090177680,0.0093055600,0.0133991660,0.0175393510,0.0157207600,0.0203516640,-0.0000149000,0.0000122000,49691.6880000000,48945.2735600000,0.9309455370, 
0.0554668270,0.1160751010,0.0289359160,0.0147720160,0.0068002240,0.0158054100,0.0117138990,0.0103801350,0.0089761920,0.0089096650,0.0090782430,0.0091390070,0.0090120940,0.0093025320,0.0134003520,0.0175357810,0.0157264660,0.0203485180,-0.0000129000,0.0000165000,49061.2299700000,48925.1206000000,0.9309463640, 
0.0640001870,0.1160496660,0.0289291540,0.0147729680,0.0068011620,0.0158056450,0.0117106770,0.0103751910,0.0089732060,0.0089122800,0.0090772810,0.0091401200,0.0090065690,0.0093035420,0.0133984410,0.0175350960,0.0157297070,0.0203558940,-0.0000104000,0.0000204000,49458.6427300000,48902.3893000000,0.9309509130, 
0.0725335470,0.1160530430,0.0289343280,0.0147831550,0.0068012960,0.0158101920,0.0117115970,0.0103769760,0.0089745600,0.0089226550,0.0090813320,0.0091398680,0.0090107230,0.0093053140,0.0134033220,0.0175393530,0.0157328540,0.0203518880,-0.0000080100,0.0000235000,48960.3462300000,48879.6580100000,0.9309553620, 
0.0810669070,0.1160414680,0.0289265600,0.0147763900,0.0067936670,0.0158034190,0.0117079700,0.0103785470,0.0089743270,0.0089172890,0.0090788690,0.0091349670,0.0090112160,0.0093027450,0.0134078220,0.0175315280,0.0157334450,0.0203436760,-0.0000060100,0.0000261000,48570.6997600000,48856.9267200000,0.9309751880, 
0.0896002670,0.1160163740,0.0289175520,0.0147710280,0.0067937650,0.0157999660,0.0117056930,0.0103802220,0.0089733700,0.0089110950,0.0090798810,0.0091351490,0.0090173100,0.0093000740,0.0134105610,0.0175321060,0.0157393780,0.0203453190,-0.0000035700,0.0000264000,47890.2095500000,48903.7866500000,0.9309905410, 
0.0981336270,0.1160225280,0.0289210360,0.0147735970,0.0067981660,0.0158049630,0.0117109330,0.0103882730,0.0089786330,0.0089196780,0.0090866990,0.0091399960,0.0090250100,0.0093056980,0.0134170820,0.0175451780,0.0157463980,0.0203494990,-0.0000020000,0.0000258000,49650.2037400000,48977.3474500000,0.9310078000, 
0.1066669870,0.1160353560,0.0289185890,0.0147750480,0.0067925840,0.0158002540,0.0117134400,0.0103840260,0.0089719860,0.0089186810,0.0090844610,0.0091394170,0.0090191930,0.0093060020,0.0134094950,0.0175481090,0.0157434510,0.0203444740,-0.0000020000,0.0000251000,49138.3761300000,49050.9082400000,0.9310111300, 
